GAIA_IE	EN_MENTION_0000000	本质	CMN_DF_000191_20150503_F00100097:522-523	NIL90000693	ORG	NAM	1.0	
GAIA_IE	EN_MENTION_0000001	是	CMN_DF_000191_20150503_F00100097:536-536	NIL90000694	ORG	NAM	1.0	
GAIA_IE	EN_MENTION_0000002	本主义	CMN_DF_000191_20150503_F00100097:539-541	NIL90000695	ORG	NAM	1.0	
GAIA_IE	EN_MENTION_0000003	中	CMN_DF_000311_20150501_F001000AL:788-788	6559575	GPE	NAM	1.0	
GAIA_IE	EN_MENTION_0000004	心	CMN_DF_000311_20150501_F001000AL:789-789	NIL90000516	GPE	NAM	1.0	
GAIA_IE	EN_MENTION_0000005	再	CMN_DF_000311_20150502_F001000AM:5336-5336	NIL90000696	ORG	NAM	1.0	
GAIA_IE	EN_MENTION_0000006	u	CMN_DF_000311_20150502_F001000AM:1351-1351	NIL90000697	PER	PRO	1.0	
GAIA_IE	EN_MENTION_0000007	Larry Hogan	ENG_DF_000261_20150428_F00100089:407-417	6252001	PER	NAM	1.0	
GAIA_IE	EN_MENTION_0000008	Baltimore Police Department	ENG_DF_000261_20150428_F00100089:639-665	NIL90000061	ORG	NAM	1.0	
GAIA_IE	EN_MENTION_0000009	Baltimore Police	ENG_DF_000261_20150428_F00100089:669-684	NIL90000061	ORG	NAM	1.0	
GAIA_IE	EN_MENTION_0000010	Anthony Batts	ENG_DF_000261_20150428_F00100089:699-711	NIL90000008	PER	NAM	1.0	
GAIA_IE	EN_MENTION_0000011	Commissioner	ENG_DF_000261_20150428_F00100089:686-697	NIL90000008	PER	NOM	1.0	
GAIA_IE	EN_MENTION_0000012	Baltimore	ENG_DF_000261_20150428_F00100089:841-849	4347778	GPE	NAM	1.0	
GAIA_IE	EN_MENTION_0000013	Stephanie Rawlings-Blake	ENG_DF_000261_20150428_F00100089:876-899	NIL90000056	PER	NAM	1.0	
GAIA_IE	EN_MENTION_0000014	African American	ENG_DF_000261_20150428_F00100089:1716-1731	NIL90000190	PER	NAM	1.0	
