tenista	O
brasileño	O
[[Gustavo_Kuerten]]	3
,	O
actual	O
número	O
dos	O
del	O
mundo	O
,	O
terminó	O
su	O
romance	O
de	O
varios	O
meses	O
con	O
la	O
modelo	O
[[Vanessa_Schultz]]	2
porque	O
ésta	O
decidió	O
posar	O
desnuda	O
para	O
un	O
ensayo	O
de	O
la	O
edición	O
nacional	O
de	O
la	O
revista	O
[[Playboy]]	4
,	O
informa	O
el	O
semanario	O
[[Veja]]	O
en	O
su	O
último	O
número	O
.	O
[BREAK]	O
[[Schultz]]	2
,	O
una	O
escultural	O
jovencita	O
de	O
ojos	O
y	O
cabellos	O
castaños	O
,	O
será	O
la	O
portada	O
de	O
la	O
edición	O
de	O
[[Playboy]]	4
del	O
mes	O
de	O
julio	O
,	O
lo	O
que	O
irritó	O
al	O
tenista	O
,	O
quien	O
ya	O
había	O
manifestado	O
varias	O
veces	O
su	O
rechazo	O
a	O
otras	O
ofertas	O
hechas	O
por	O
la	O
misma	O
publicación	O
a	O
su	O
novia	O
para	O
que	O
mostrase	O
sus	O
atributos	O
al	O
público	O
brasileño	O
.	O
[BREAK]	O
"	O
La	O
revista	O
ya	O
me	O
había	O
invitado	O
antes	O
,	O
pero	O
él	O
(	O
[[Kuerten]]	3
)	O
nunca	O
aceptó	O
"	O
,	O
indicó	O
[[Schultz]]	2
,	O
y	O
agregó	O
que	O
tomó	O
la	O
decisión	O
de	O
salir	O
desnuda	O
en	O
[[Playboy]]	4
porque	O
quiere	O
"	O
brillar	O
por	O
cuenta	O
propia	O
"	O
y	O
no	O
vivir	O
a	O
la	O
sombra	O
de	O
"	O
[[Guga]]	1
"	O
,	O
como	O
se	O
conoce	O
popularmente	O
en	O
[[Brasil]]	O
al	O
tenista	O
.	O
[BREAK]	O
La	O
belleza	O
de	O
la	O
modelo	O
atrajo	O
la	O
atención	O
de	O
los	O
medios	O
de	O
comunicación	O
del	O
mundo	O
la	O
mayoría	O
de	O
las	O
veces	O
que	O
acompañó	O
al	O
tenista	O
en	O
los	O
torneos	O
internacionales	O
que	O
ha	O
disputado	O
.	O
[BREAK]	O
Sin	O
entrar	O
en	O
detalles	O
sobre	O
los	O
escenarios	O
donde	O
mostrará	O
su	O
belleza	O
al	O
natural	O
,	O
[[Schultz]]	2
añadió	O
que	O
"	O
después	O
de	O
ver	O
las	O
fotografías	O
[[Guga]]	1
nunca	O
más	O
va	O
a	O
hablar	O
conmigo	O
"	O
.	O
[BREAK]	O
[[Santander]]	O
,	O
23	O
may	O
(	O
[[EFE]]	O
)	O
<DOC>
del	O
[[Gobierno_de_Cantabria]]	7
y	O
de	O
la	O
[[Diputación_Foral_de_Vizcaya]]	2
se	O
reunirán	O
mañana	O
en	O
[[Bilbao]]	O
para	O
tratar	O
la	O
situación	O
en	O
el	O
litigio	O
territorial	O
que	O
mantienen	O
sobre	O
[[Agüera]]	1
,	O
pueblo	O
fronterizo	O
entre	O
el	O
municipio	O
vasco	O
de	O
[[Trucíos]]	O
y	O
el	O
cántabro	O
de	O
[[Guriezo]]	O
.	O
[BREAK]	O
A	O
esta	O
reunión	O
asistirán	O
los	O
responsables	O
jurídicos	O
de	O
ambas	O
administraciones	O
;	O
el	O
director	O
general	O
de	O
[[Acción_Territorial_de_Vizcaya]]	O
,	O
[[Antón_Kaifer]]	O
;	O
y	O
el	O
director	O
de	O
[[Cooperación_Local_de_Cantabria]]	O
,	O
[[Juan_Manuel_Badolato]]	O
,	O
según	O
formaron	O
hoy	O
a	O
[[Efe]]	O
fuentes	O
del	O
[[Gobierno]]	7
cántabro	O
.	O
[BREAK]	O
Uno	O
de	O
los	O
principales	O
asuntos	O
que	O
se	O
tratará	O
en	O
este	O
encuentro	O
es	O
el	O
compromiso	O
que	O
el	O
pasado	O
25	O
de	O
abril	O
adquirió	O
la	O
[[Diputación_Foral_de_Vizcaya]]	2
de	O
paralizar	O
el	O
proceso	O
de	O
concentración	O
parcelaria	O
en	O
la	O
zona	O
de	O
[[Agüera]]	1
,	O
indicaron	O
las	O
fuentes	O
.	O
[BREAK]	O
El	O
histórico	O
litigio	O
que	O
mantienen	O
[[Vizcaya]]	O
y	O
[[Cantabria]]	O
sobre	O
sus	O
lindes	O
en	O
[[Agüera]]	1
podría	O
concluir	O
a	O
finales	O
de	O
año	O
con	O
una	O
resolución	O
del	O
[[Ministerio_de_Administraciones_Públicas]]	3
.	O
[BREAK]	O
Una	O
modificación	O
de	O
la	O
Ley	O
de	O
Régimen	O
Local	O
otorga	O
la	O
competencia	O
para	O
dirimir	O
divergencias	O
entre	O
comunidades	O
autónomas	O
a	O
ese	O
[[Ministerio]]	O
,	O
que	O
ha	O
informado	O
a	O
la	O
[[Comisión_de_Seguimiento_de_Agüera]]	O
que	O
espera	O
resolver	O
el	O
expediente	O
antes	O
de	O
final	O
de	O
año	O
.	O
[BREAK]	O
La	O
comunidad	O
autónoma	O
que	O
resulte	O
desfavorecida	O
puede	O
presentar	O
un	O
recurso	O
contra	O
la	O
resolución	O
del	O
[[Ministerio_de_Administraciones_Públicas]]	3
<DOC>
sindicato	O
de	O
enfermería	O
[[Satse]]	2
pidió	O
hoy	O
un	O
pacto	O
estatal	O
en	O
sanidad	O
para	O
acabar	O
con	O
el	O
problema	O
de	O
las	O
listas	O
de	O
espera	O
,	O
que	O
en	O
su	O
opinión	O
seguirán	O
existiendo	O
mientas	O
no	O
se	O
resuelva	O
la	O
escasez	O
de	O
personal	O
en	O
las	O
instituciones	O
sanitarias	O
.	O
[BREAK]	O
A	O
través	O
de	O
un	O
comunicado	O
,	O
[[Satse]]	2
señala	O
que	O
"	O
la	O
resolución	O
del	O
drama	O
de	O
las	O
listas	O
de	O
espera	O
pasa	O
por	O
la	O
formación	O
de	O
una	O
mesa	O
de	O
negociación	O
,	O
en	O
la	O
que	O
estén	O
tanto	O
el	O
[[Insalud]]	O
como	O
las	O
[[CCAA]]	O
que	O
tengan	O
transferidas	O
las	O
competencias	O
sanitarias	O
y	O
con	O
los	O
agentes	O
sociales	O
"	O
.	O
[BREAK]	O
Según	O
el	O
secretario	O
general	O
de	O
[[Satse]]	2
,	O
[[José_Alfonso_Martos]]	O
,	O
se	O
está	O
aplicando	O
una	O
política	O
de	O
parches	O
,	O
que	O
no	O
entra	O
en	O
el	O
fondo	O
del	O
problema	O
y	O
que	O
en	O
